nid,id,hd,cr,wc,pd,et,sn,sc,ed,pg,la,cy,lp,td,ct,rf,co,ina,ns,re,ipc,ipd,pub,an
396,Factiva-20210602-1533,"Mask-fearing Carlson needs to be muzzled
   BY
Margaret Sullivan",,901 words,28 April 2021,,The Washington Post,WP,FINAL,C01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","I took a walk to Central Park on Monday, and on the way, I noticed a toddler being wheeled in a stroller, wearing what looked like a cotton, homemade mask. The mask was pink with white flowers, and fit the tiny face well.

The child was peacefully asleep, lulled by the motion and the spring breezes.",,,,,,gent : Arts/Entertainment | gcat : Political/General News,usa : United States | namz : North America,,Style,Washington Post,Document WP00000020210428eh4s0002k
397,Factiva-20210602-1533,"The best cleaning solutions may be the ones you make yourself
   BY
Olga Massov",,"1,324 words",28 April 2021,,The Washington Post,WP,FINAL,E12,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","For a recipe developer and food writer working from home, you could say this past year felt Sisyphean.

In the past 12 months, I've spent a lot of time in my kitchen developing and testing recipes, preparing food for our remote photo shoots, making multiple meals a day for my family, and spending an inordinate amount of time cleaning up after each of those tasks. It was a never-ending cycle of cook-clean-repeat.",,,,,,gfod : Food/Drink | grcps : Recipes | nrvw : Reviews | gtcom : Telecommuting | gbal : Work-Life Balance | gcat : Political/General News | gjob : General Labor Issues | glife : Living/Lifestyle | ncat : Content Types | nfact : Factiva Filters | nfce : C&E Exclusion Filter | nrgn : Routine General News,usa : United States | namz : North America,,Food,Washington Post,Document WP00000020210428eh4s0001j
398,Factiva-20210602-1533,"Washington does feel different. But unity is unlikely in the new normal.
   BY
Marc Fisher",,"2,141 words",28 April 2021,,The Washington Post,WP,FINAL,AA16,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","In 1974, when Gerald Ford moved into the White House after Richard Nixon left in disgrace, the new president announced that ""our long national nightmare is over."" Ford's honeymoon lasted barely a month - until he outraged much of the country by pardoning his predecessor.

In 1920, following a frighteningly lethal flu pandemic, a devastating war and a president widely perceived to have broken the bounds of his authority, Warren G. Harding promised a ""return to normalcy."" But what Harding saw as a reversion to the norm struck a young future president, Franklin D. Roosevelt, as a ""period of coma in our national life.""",,,,,,gcat : Political/General News | gvexe : Executive Branch | gpol : Domestic Politics | gvote : Elections | gpir : Politics/International Relations | gvbod : Government Bodies,usa : United States | usdc : Washington DC | namz : North America | uss : Southern U.S.,,ETC,Washington Post,Document WP00000020210428eh4s0002o
399,Factiva-20210602-1533,"Health & Wellness -- Ask Personal Journal: Face Masks At Work
   BY
By Lauren Weber",,628 words,27 April 2021,,The Wall Street Journal,J,,A11,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","As more Americans are vaccinated and state mask mandates are dropped, can my employer forbid me from wearing a mask while at work?

The bottom line",,,,,,gcat : Political/General News | ghea : Health | gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | nmajev : Major News Events | ntop : Top Wire News | gcold : Respiratory Tract Diseases | gmed : Medical Conditions | gspox : Infectious Diseases | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,HHS | USG | NND | HWL | PSJ,,"Dow Jones & Company, Inc.",Document J000000020210427eh4r0000b
400,Factiva-20210602-1533,HIGHLIGHT: Illinois,,"2,238 words",27 April 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Tuscaloosa: Staggered schedules, leave, and other pandemic-related benefits and accommodations the University of Alabama created as temporary measures will expire in mid-May, according to an email sent to faculty and staff.

Alaska Juneau: Alaska Airlines has banned state Sen. Lora Reinbold, R-Eagle River, for refusing to follow mask requirements. Last year, she referred to airline staff as ""mask bullies"" after being asked to wear one on a flight, the Anchorage Daily News reports. She reportedly later sent flight attendants a cake inscribed: ""I'm sorry if I offended you.""",,,,unvtym : The University of Alabama,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | c332 : Government Contracts/Orders | gcrim : Crime/Legal Action | ghea : Health | gmed : Medical Conditions | gpol : Domestic Politics | guni : University/College | c33 : Contracts/Orders | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | gedu : Education | gpir : Politics/International Relations | gspox : Infectious Diseases | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter,usa : United States | usak : Alaska | usw : Western U.S. | usal : Alabama | ushi : Hawaii | usil : Illinois | usmd : Maryland | usms : Mississippi | usnd : North Dakota | namz : North America | usc : Midwest U.S. | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210427eh4r0000z
401,Factiva-20210602-1532,,,,,,,,,,,,,,,,,,,,,,,
402,Factiva-20210602-1532,"Gather in Public (With Care)
   BY
By Robin Lloyd",,"1,634 words",30 May 2021,,The New York Times,NYTF,Late Edition - Final,15,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Going to Disney World this summer? Or to your niece's sixth birthday party? Here's how to do it safely.

During spring break last month, Monica Gandhi tested her confidence in coronavirus science. She and her two unvaccinated children stood in a packed crowd near a well-known bridge in Austin, Texas, to enjoy watching the emergence at dusk of thousands of Brazilian free-tailed bats.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | glife : Living/Lifestyle | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases,usa : United States | namz : North America,,House & Home/Style Desk,The New York Times Company,Document NYTF000020210530eh5u0004c
403,Factiva-20210602-1532,"The unseen coronavirus risk for unvaccinated people
   BY
Dan Keating                Leslie Shapiro",,"1,136 words",30 May 2021,,The Washington Post,WP,FINAL,A15,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","The country's declining covid-19 case rates present an unrealistically optimistic perspective for half of the nation - the half that is still not vaccinated. As more people receive vaccine shots, covid-19 cases are occurring mostly in the increasingly narrow slice of the unprotected population. So The Washington Post adjusted its case, death and hospitalization rates to account for that - and found that in some places, the virus continues to rage among those who haven't received a shot. The rosy national figures showing declining case numbers led the Centers for Disease Control and Prevention to loosen mask recommendations and President Biden to advise people to take off their masks and smile. But adjustments for vaccinations show the rate among susceptible, unvaccinated people is 69 percent higher than the standard figures being publicized. With that adjustment, the national death rate is roughly the same as it was two months ago and is barely inching down.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gimmu : Immunizations | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures,usa : United States | use : Northeast U.S. | uswa : Washington State | namz : North America | usw : Western U.S.,,Health-Environment-Science,Washington Post,Document WP00000020210530eh5u0001l
404,Factiva-20210602-1532,"Surge in Fliers to Test Airports and Carriers
   BY
By Doug Cameron",,836 words,29 May 2021,,The Wall Street Journal,J,,A1,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","U.S. airline-passenger numbers are forecast to average as many as two million a day through the Memorial Day holiday, testing the ability of airlines and airports to handle infrequent and, in some cases, unruly, fliers.

While domestic air-travel numbers last Christmas were half those in 2019, recent Transportation Security Administration counts have them now hovering around 90% of pre-pandemic levels. The TSA screened 1.9 million passengers last Sunday, a 14-month high.",,,,amair : American Airlines Group Inc. | ustsa : Transportation Security Administration,i764 : Airports | i7501 : Passenger Airlines | i75 : Airlines | iairtr : Air Transport | itsp : Transportation/Logistics,gtour : Travel | gtrans : Transport | nmajev : Major News Events | npag : Page One Stories | ntop : Top Wire News | gcat : Political/General News | glife : Living/Lifestyle | ncat : Content Types | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,FAA | HLS | USG | NND | TRSH | PGO,,"Dow Jones & Company, Inc.",Document J000000020210529eh5t0002o
405,Factiva-20210602-1532,"U.S. News: Covid-19 Shot Can Be a Job Requirement --- Updated guidance from EEOC notes some exceptions; incentives are allowed
   BY
By Eric Morath and Sarah Chaney Cambon",,540 words,29 May 2021,,The Wall Street Journal,J,,A3,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","U.S. employers could require all workers physically entering a workplace to be vaccinated against Covid-19, the federal government said Friday.

The Equal Employment Opportunity Commission issued updated guidance stating that federal laws don't prevent an employer from requiring workers to be vaccinated.",,,,equoc : United States Equal Employment Opportunity Commission,i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences,gvbod : Government Bodies | gjob : General Labor Issues | gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | ghea : Health | gimmu : Immunizations | gpol : Domestic Politics | nmajev : Major News Events | ntop : Top Wire News | gcat : Political/General News | gcold : Respiratory Tract Diseases | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usa : United States | namz : North America,FDL | USG | NND | USN,,"Dow Jones & Company, Inc.",Document J000000020210529eh5t0002j
